author,description,format,genre,month,pages,publisher,rating,title,year
Traci Chee,"An instant New York Times Bestseller, this is a stunning debut set in a world where reading is unheard-of. Perfect for fans of Inkheart and Shadow and Bone",Hardcover,Fantasy,September,442,G.P. Putnam's Sons Books for Young,3.79,The Reader,2016
Nathan  Hill,"A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.",Hardcover,Fiction,August,640,Knopf,4.09,The Nix,2016
Louise Jensen,'I did something terrible Grace. I hope you can forgive me ...',Paperback,Thriller,July,336,Bookouture                          (first published 2016,3.78,The Sister,2016
Imbolo Mbue,"<b>A compulsively readable debut novel about marriage, immigration, class, race, and the trapdoors in the American Dream—the unforgettable story of a young Cameroonian couple making a new life in New York just as the Great Recession upends the economy<br/><br/>Named one of BuzzFeed’s “Incredible New Books You Need to Read This Summer”</b>",Hardcover,Fiction,August,380,Random House                          (first published March 15th 2016,3.95,Behold the Dreamers,2016
Nicole Y. Dennis-Benn,"Capturing the distinct rhythms of Jamaican life and dialect, Nicole Dennis-Benn pens a tender hymn to a world hidden among pristine beaches and the wide expanse of turquoise seas. At an opulent resort in Montego Bay, Margot hustles to send her younger sister, Thandi, to school. Taught as a girl to trade her sexuality for survival, Margot is ruthlessly determined to shield",Hardcover,Fiction,July,352,Liveright,3.81,Here Comes the Sun,2016
Garth Greenwell,"On an unseasonably warm autumn day, an American teacher enters a public bathroom beneath Sofia’s National Palace of Culture. There he meets Mitko, a charismatic young hustler, and pays him for sex. He returns to Mitko again and again over the next few months, drawn by hunger and loneliness and risk, and finds himself ensnared in a relationship in which lust leads to mutual",Hardcover,Fiction,January,194,"Farrar, Straus and Giroux                          (first published June 1st 2011",3.75,What Belongs to You,2011
Tiffany McDaniel,<b>Fielding Bliss has never forgotten the summer of 1984:</b>,Hardcover,Fiction,July,310,St. Martin's Press,3.93,The Summer that Melted Everything,2016
Louise  Miller,"<b>A warm, full-hearted novel about a big-city baker who discovers the true meaning of home, and that sometimes the best things are found when you didn’t even know you were looking.</b>",Hardcover,Fiction,August,342,Pamela Dorman Books,3.79,The City Baker's Guide to Country Living,2016
Nicole Waggoner,"Norah Merrit, a dedicated obstetrician known for her bedside manner and service to Doctors Without Borders, walks into girls night out with a confession to make and what she has to say shakes the group to its core. In the aftermath of Norah's revelation, each of the women she calls her sister-friends photojournalist Camille, stay-at-home mom Leila, publicist Ellison, and d",Paperback,Fiction,April,425,She Writes Press,3.92,Center Ring,2016
Nigel Jay Cooper,"<i>Alternate cover editions can be found <a href=""https://www.goodreads.com/book/show/38099686-beat-the-rain"" rel=""nofollow"">here</a> and <a href=""https://www.goodreads.com/book/show/38099868-beat-the-rain"" rel=""nofollow"">here</a>.</i>",Paperback,Fiction,July,256,Roundfire Books,3.95,Beat the Rain,2016
Ruta Sepetys,"World War II is drawing to a close in East Prussia and thousands of refugees are on a desperate trek toward freedom, many with something to hide. Among them are Joana, Emilia, and Florian, whose paths converge en route to the ship that promises salvation, the ",Hardcover,Historical,February,393,Philomel Books,4.36,Salt to the Sea,2016
Jennifer L. Armentrout,"<b>A story about friendship, survival and finding your voice</b>",Hardcover,Young Adult,May,474,Harlequin Teen,4.00,The Problem with Forever,2016
Nicola Yoon,Natasha: I’m a girl who believes in science and facts. Not fate. Not destiny. Or dreams that will never come true. I’m definitely not the kind of girl who meets a cute boy on a crowded New York City street and falls in love with him. Not when my family is twelve hours away from being deported to Jamaica. Falling in love with him won’t be my story.,Hardcover,Young Adult,November,348,Delacorte Press,4.10,The Sun Is Also a Star,2016
Tillie Cole,One kiss lasts a moment. But a thousand kisses can last a lifetime. One boy. One girl. A bond that is forged in an instant and cherished for a decade. A bond that neither time nor distance can break. A bond that will last forever. Or so they believe. ,Paperback,Young Adult,March,352,CreateSpace Independent Publishing Platform,4.27,A Thousand Boy Kisses,2016
Morgan Matson,"Andie had it all planned out. When you are a politician’s daughter who’s pretty much raised yourself, you learn everything can be planned or spun, or both. Especially your future. Important internship? Check. Amazing friends? Check. Guys? Check (as long as we’re talking no more than three weeks).",Hardcover,Contemporary,May,519,Simon & Schuster Books for Young Readers,4.04,The Unexpected Everything,2016
Marieke Nijkamp,<i>10:00 a.m.</i>,Hardcover,Young Adult,January,288,Sourcebooks Fire,3.66,This Is Where It Ends,2016
Kasie West,"<i>Signed, sealed, delivered…</i>",Hardcover,Young Adult,July,330,Point,4.07,P.S. I Like You,2016
Brittany Cavallaro,"The last thing Jamie Watson wants is a rugby scholarship to Sherringford, a Connecticut prep school just an hour away from his estranged father. But that’s not the only complication: Sherringford is also home to Charlotte Holmes, the famous detective’s great-great-great-granddaughter, who has inherited not only Sherlock’s genius but also his volatile temperament. From ever",Hardcover,Mystery,March,321,Katherine Tegen Books,3.82,A Study in Charlotte,2016
Jennifer Niven,"Everyone thinks they know Libby Strout, the girl once dubbed “America’s Fattest Teen.” But no one’s taken the time to look past her weight to get to know who she really is. Following her mom’s death, she’s been picking up the pieces in the privacy of her home, dealing with her heartbroken father and her own grief. Now, Libby’s ready: for high school, for new friends, for l",Hardcover,Young Adult,October,391,Alfred A. Knopf Books for Young Readers                          (first published April 4th 2016,3.90,Holding Up the Universe,2016
Meredith Russo,A new kind of big-hearted novel about being seen for who you really are.,Hardcover,Young Adult,May,280,Flatiron Books,4.00,If I Was Your Girl,2016
Jeff Zentner,"Dill has had to wrestle with vipers his whole life—at home, as the only son of a Pentecostal minister who urges him to handle poisonous rattlesnakes, and at school, where he faces down bullies who target him for his father’s extreme faith and very public fall from grace.",Hardcover,Young Adult,March,372,Crown Books for Young Readers,4.19,The Serpent King,2016
Amber   Smith,In the tradition of ,Hardcover,Young Adult,March,367,Margaret K. McElderry Books,4.13,The Way I Used to Be,2016
Jeff Garvin,"<i>The first thing you’re going to want to know about me is: Am I a boy, or am I a girl?</i>",Hardcover,Young Adult,February,335,Balzer + Bray,4.18,Symptoms of Being Human,2016
Jenna Evans Welch,<i>“I made the wrong choice.”</i>,Hardcover,Young Adult,May,389,Simon Pulse,4.11,Love & Gelato,2016
Julie Buxbaum,"Everything about Jessie is wrong. At least, that’s what it feels like during her first week of junior year at her new ultra-intimidating prep school in Los Angeles. Just when she’s thinking about hightailing it back to Chicago, she gets an email from a person calling themselves Somebody/Nobody (SN for short), offering to help her navigate the wilds of Wood Valley High Scho",Hardcover,Young Adult,April,328,Delacorte Press,4.09,Tell Me Three Things,2016
Katie McGarry,<b>One moment of recklessness will change their worlds.</b>,Hardcover,Young Adult,March,426,Harlequin TEEN,4.25,Walk the Edge,2016
Emery Lord,"<i>We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are stronger than anyone could ever know…</i>",Hardcover,Young Adult,April,352,Bloomsbury USA Childrens,3.84,When We Collided,2016
Mindy McGinnis,A contemporary YA novel that examines rape culture through alternating perspectives. ,Hardcover,Young Adult,September,352,Katherine Tegen Books,4.24,The Female of the Species,2016
C.L. Stone,"The time has finally come for Sang Sorenson to be formally introduced to the Academy. Protocol dictates the boys keep the details of Sang’s official introduction to the Academy a secret from her. The only thing they can advise her to do is to work on what will become her mantra: She is determined to stay with her team, no matter what.",Paperback,Polyamorous,April,435,Arcato Publishing,4.52,First Kiss,2016
Catherine Doyle,<b>Romeo and Juliet meets The Godfather in the second installment of Catherine Doyle's Blood for Blood series.</b>,Paperback,Young Adult,January,416,Chicken House,4.50,Inferno,2016
Sarah J. Maas,"Feyre survived Amarantha's clutches to return to the Spring Court—but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.",Hardcover,Fantasy,May,624,Bloomsbury USA Childrens,4.69,A Court of Mist and Fury,2016
Cassandra Clare,<i>In a kingdom by the sea…</i>,Hardcover,Fantasy,March,688,Margaret K. McElderry Books,4.45,Lady Midnight,2016
Sarah J. Maas,"The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.",Hardcover,Fantasy,September,704,Bloomsbury Children's Books,4.57,Empire of Storms,2016
Leigh Bardugo,Welcome to the world of the Grisha.,Hardcover,Fantasy,September,546,Henry Holt and Company,4.62,Crooked Kingdom,2016
Maggie Stiefvater,"The fourth and final installment in the spellbinding series from the irrepressible, #1 New York Times bestselling author Maggie Stiefvater.",Hardcover,Fantasy,April,439,Scholastic Press,4.31,The Raven King,2016
Victoria Aveyard,"<i>If there’s one thing Mare Barrow knows, it’s that she’s different.</i>",Hardcover,Fantasy,February,444,HarperTeen,3.92,Glass Sword,2016
Kiera Cass,"When Eadlyn became the first princess of Illéa to hold her own Selection, she didn’t think she would fall in love with any of her thirty-five suitors. She spent the first few weeks of the competition counting down the days until she could send them all home. But as events at the palace force Eadlyn even further into the spotlight, she realizes that she might not be content",Hardcover,Science Fiction,May,278,HarperTeen,3.79,The Crown,2016
Brandon Sanderson,From the bestselling author of the Mistborn series and ,Hardcover,Fantasy,February,417,Delacorte Press,4.20,Calamity,2016
Marissa Meyer,<b>Long before she was the terror of Wonderland—the infamous Queen of Hearts—she was just a girl who wanted to fall in love.</b>,Hardcover,Fantasy,November,453,Feiwel & Friends,4.06,Heartless,2016
Sabaa Tahir,"Elias and Laia are running for their lives. After the events of the Fourth Trial, Martial soldiers hunt the two fugitives as they flee the city of Serra and undertake a perilous journey through the heart of the Empire.",Hardcover,Fantasy,August,452,Razorbill,4.34,A Torch Against the Night,2016
Shaun David Hutchinson,From the author of ,Paperback,Young Adult,January,464,Simon Pulse,4.21,We Are the Ants,2016
Renée Ahdieh,"<i>The darker the sky, the brighter the stars.</i>",Hardcover,Fantasy,April,416,G.P. Putnam's Sons Books for Young Readers,4.16,The Rose & the Dagger,2016
Marie Rutkoski,<i>Some kisses come at a price.</i>,Hardcover,Fantasy,March,484," Farrar, Straus and Giroux",4.26,The Winner's Kiss,2016
Pittacus Lore,"The seventh and final book in the #1 New York Times bestselling I Am Number Four series! With United as One, this action-packed series comes to a surprising, breathtaking, and utterly satisfying conclusion. The Garde didn’t start this war, but they’ll do whatever it takes to end it once and for all. . . .",Hardcover,Young Adult,June,449,HarperCollins,4.31,United as One,2016
Alwyn Hamilton,"Mortals rule the desert nation of Miraji, but mythical beasts still roam the wild and remote areas, and rumor has it that somewhere, djinn still perform their magic.  For humans, it’s an unforgiving place, especially if you’re poor, orphaned, or female.",Hardcover,Fantasy,March,316,Viking,3.98,Rebel of the Sands,2016
Amie Kaufman,Moving to a space station at the edge of the galaxy was always going to be the death of Hanna’s social life. Nobody said it might actually get her killed.,Library Binding,Science Fiction,October,659,Alfred A. Knopf Books for Young Readers,4.54,Gemina,2016
Cynthia Hand,"Edward (long live the king) is the King of England. He’s also dying, which is inconvenient, as he’s only sixteen and he’d much rather be planning for his first kiss than considering who will inherit his crown…",Hardcover,Historical,June,512,HarperTeen,4.11,My Lady Jane,2016
Marie Lu,"<i>There was once a time when darkness shrouded the world, and the darkness had a queen.</i>",Hardcover,Fantasy,October,316,G.P. Putnam's Sons Books for Young Readers,4.13,The Midnight Star,2016
Kiersten White,"No one expects a princess to be brutal. And Lada Dragwlya likes it that way. Ever since she and her gentle younger brother, Radu, were wrenched from their homeland of Wallachia and abandoned by their father to be raised in the Ottoman courts, Lada has known that being ruthless is the key to survival. She and Radu are doomed to act as pawns in a vicious game, an unseen swor",Hardcover,Fantasy,June,475,Delacorte Press,3.89,And I Darken,2016
Julie Eshbaugh,<i>Two clans. Only one will survive.</i>,Hardcover,Young Adult,June,371,HarperTeen,3.58,Ivory and Bone,2016
Rick Riordan,How do you punish an immortal?,Hardcover,Fantasy,May,376,Disney-Hyperion,4.28,The Hidden Oracle,2016
Sara Pennypacker,"Pax was only a kit when his family was killed, and “his boy” Peter rescued him from abandonment and certain death. Now the war front approaches, and when Peter’s father enlists, Peter has to move in with his grandpa. Far worse than being forced to leave home is the fact that Pax can’t go. Peter listens to his stern father—as he usually does—and throws Pax’s favorite toy so",Hardcover,Childrens,February,224,Balzer + Bray,4.04,Pax,2016
Rick Riordan,"<i>""Magnus Chase, you nearly started Ragnarok. What are you going to do next?""</i>",Hardcover,Fantasy,October,459,Disney-Hyperion,4.36,The Hammer of Thor,2016
Chris Colfer,<b>The fifth book in Chris Colfer's #1 <i>New York Times</i> bestselling series The Land of Stories!</b>,Hardcover,Fantasy,July,438,"Little, Brown Books for Young Readers",4.48,An Author's Odyssey,2016
Tahereh Mafi,"Alice Alexis Queensmeadow 12 rates three things most important: Mother, who wouldn’t miss her; magic and color, which seem to elude her; and Father, who always loved her. Father disappeared from Ferenwood with only a ruler, almost three years ago. But she will have to travel through the mythical, dangerous land of Furthermore, where down can be up, paper is alive, and left",Hardcover,Fantasy,August,406,Dutton Books for Young Readers,3.94,Furthermore,2016
Ally Condie,"It's the first real summer since the devastating accident that killed Cedar's father and younger brother, Ben. But now Cedar and what’s left of her family are returning to the town of Iron Creek for the summer. They’re just settling into their new house when a boy named Leo, dressed in costume, rides by on his bike. Intrigued, Cedar follows him to the renowned Summerlost t",Hardcover,Childrens,March,249,Dutton Books for Young Readers,3.85,Summerlost,2016
Chris Grabenstein,"Welcome, boys and girls, readers of all ages, to the first-ever Library Olympiad! Kyle and his teammates are back, and the world-famous game maker, Luigi Lemoncello, is at it again! ",Hardcover,Childrens,January,288,Random House Books for Young Readers,4.21,Mr. Lemoncello's Library Olympics,2016
Erin Hunter,"<b>Embrace what you find in the shadows, for only they can clear the sky.</b>",Hardcover,Fantasy,March,296,HarperCollins,4.42,The Apprentice's Quest,2016
Kate DiCamillo,"Raymie Clarke has come to realize that everything, absolutely everything, depends on her. And she has a plan. If Raymie can win the Little Miss Central Florida Tire competition, then her father, who left town two days ago with a dental hygienist, will see Raymie's picture in the paper and (maybe) come home. To win, not only does Raymie have to do good deeds and learn how t",Hardcover,Childrens,April,272,Candlewick Press,3.91,Raymie Nightingale,2016
Holly Black,Magic can save you.,Hardcover,Fantasy,August,256,Scholastic,4.14,The Bronze Key,2016
Lauren Wolk,"Growing up in the shadows cast by two world wars, Annabelle has lived a mostly quiet, steady life in her small Pennsylvania town. Until the day new student Betty Glengarry walks into her class. Betty quickly reveals herself to be cruel and manipulative, and while her bullying seems isolated at first, things quickly escalate, and reclusive World War I veteran Toby becomes a",Hardcover,Historical,May,304,Dutton Books for Young Readers,4.24,Wolf Hollow,2016
Lindsay Eagar,"<b>What does it mean to be fully alive? Magic blends with reality in a stunning coming-of-age novel about a girl, a grandfather, wanderlust, and reclaiming your roots.</b>",Hardcover,Childrens,March,368,Candlewick Press                          (first published March 3rd 2016,4.20,Hour of the Bees,2016
Jonathan Stroud,After leaving Lockwood & Co. at the end of ,Hardcover,Fantasy,September,445,Disney-Hyperion,4.51,The Creeping Shadow,2016
Peter  Brown,"When robot Roz opens her eyes for the first time, she discovers that she is alone on a remote, wild island. Why is she there? Where did she come from? And, most important, how will she survive in her harsh surroundings? Roz's only hope is to learn from the island's hostile animal inhabitants. When she tries to care for an orphaned gosling, the other animals finally decide",Hardcover,Childrens,April,279,"Little, Brown Books for Young Readers",4.11,The Wild Robot,2016
Donna Gephart,"<b>Author Donna Gephart crafts a dual narrative about two remarkable young people: Lily, a transgender girl, and Dunkin, a boy dealing with bipolar disorder.</b>",Hardcover,Childrens,May,352,Delacorte Books for Young Readers,4.26,Lily and Dunkin,2016
Brandon Mull,"Trapped in a world where magic is powerful and dreams are real, Cole’s epic adventure continues in book four of the ",Hardcover,Fantasy,March,512,Aladdin                          (first published March 1st 2016,4.49,Death Weavers,2016
Tui T. Sutherland,"Peril has been loyal to Queen Scarlet, who used her fatal firescales to kill countless dragons in the SkyWing arena. Now, Peril is loyal to Clay, the only dragonet who has ever been her friend. So when Scarlet threatens Jade Mountain Academy, Peril sets off to find her former queen, stop her, and save the day, no matter what it takes.",Hardcover,Fantasy,December,336,Scholastic Press,4.61,Escaping Peril,2015
Leslie Connor,<strong>Junior Library Guild Selection * Kids’ Indie Next List Pick</strong>,Hardcover,Childrens,March,400,Katherine Tegen Books,4.31,All Rise for the Honorable Perry T. Cook,2016
Brandon Sanderson,"Alcatraz Smedry has successfully defeated the army of Evil Librarians and saved the kingdom of Mokia. Too bad he managed to break the Smedry Talents in the process. Even worse, his father is trying to enact a scheme that could ruin the world, and his friend, Bastille, is in a coma. To revive her, Alcatraz must infiltrate the Highbrary–known as The Library of Congress to Hu",Hardcover,Fantasy,September,300,Starscape,4.06,The Dark Talent,2016
David Neilsen,“Such deliciously creepy fun! I fell in love with Dr. Fell! So will urchins and whippersnappers everywhere.” —,Hardcover,Childrens,August,240,Crown Books for Young Readers,3.94,Dr. Fell and the Playground of Doom,2016
Mo Willems,Gerald is careful. Piggie is not.,Hardcover,Childrens,May,64,Hyperion Books for Children                          (first published 2016,4.42,The Thank You Book,2016
Brendan Wenzel,"<em>The cat walked through the world, with its whiskers, ears, and paws . . .</em>",Hardcover,Childrens,August,44,Chronicle Books,4.04,They All Saw a Cat,2016
Dan Santat,<b>Caldecott Medalist Dan Santat takes readers on the road trip of a lifetime!</b>,Hardcover,Childrens,April,40,"Little, Brown Books for Young Readers",3.98,Are We There Yet?,2016
Kobi Yamada,From the same author and illustrator as our #1 nationally best-selling ,Hardcover,Childrens,July,36,Compendium Inc                          (first published February 1st 2014,4.35,What Do You Do with a Problem?,2014
Caron Levis,"Gus lives in a big park in the middle of an even bigger city, and he spends his days with Ida. Ida is right there. Always.",Hardcover,Childrens,February,40,Atheneum Books for Young Readers,4.45,"Ida, Always",2016
Oliver Jeffers,<i>I am a child of books. <br/><br/>I come from a world of stories.</i>,Hardcover,Childrens,September,36,Candlewick Press                          (first published September 2016,4.11,A Child of Books,2016
Ben Hatke,"Goblin, a cheerful little homebody, lives in a cosy, rat-infested dungeon, with his only friend, Skeleton. Every day, Goblin and Skeleton play with the treasure in their dungeon. But one day, a gang of ""heroic"" adventurers bursts in. These marauders trash the place, steal all the treasure, and make off with Skeleton—leaving Goblin all alone!",Hardcover,Childrens,June,36,First Second,4.26,Nobody Likes a Goblin,2016
Andrea Beaty,"Scientist Ada has a boundless imagination and has always been hopelessly curious. Why are there pointy things stuck to a rose? Why are there hairs growing inside your nose? When her house fills with a horrific, toe-curling smell, Ada knows it’s up to her to find the source. What would you do with a problem like this? Not afraid of failure, Ada embarks on a fact-finding mis",Hardcover,Childrens,September,32,Harry N. Abrams,4.48,"Ada Twist, Scientist",2016
Sam Garton,Otter—the irrepressible picture book character from ,Hardcover,Childrens,June,32,Balzer + Bray,4.14,Otter Goes to School,2016
Jon Klassen,"<b>Hold on to your hats for the conclusion of the celebrated hat trilogy by Caldecott Medalist Jon Klassen, who gives his deadpan finale a surprising new twist.</b>",Hardcover,Childrens,October,56,Candlewick Press,4.23,We Found a Hat,2016
Sherman Alexie,From ,Hardcover,Childrens,May,40,"Little, Brown Books for Young Readers",4.20,Thunder Boy Jr.,2016
Julie Fogliano,<i><b>december 29</b><br/><br/>and i woke to a morning<br/>that was quiet and white<br/>the first snow<br/>(just like magic) came on tip toes<br/>overnight</i>,Hardcover,Poetry,March,56,Roaring Brook Press,4.27,When Green Becomes Tomatoes: Poems for All Seasons,2016
J.J. Austrian,Perfect for fans of ,Hardcover,Childrens,January,32,Balzer + Bray,4.02,Worm Loves Worm,2016
Julie Falatko,Snappsy the alligator is trying to go about his ,Hardcover,Childrens,February,36,Viking Books for Young Readers,3.81,Snappsy the Alligator,2016
Adam Rex,"It's the first day of school at Frederick Douglass Elementary and everyone's just a little bit nervous, especially . . . the school.",Hardcover,Childrens,June,40,Roaring Brook Press,4.18,School's First Day of School,2016
Lucy Ruth Cummins,Once upon a time there was a very hungry lion and some adorable little animals...,Hardcover,Childrens,March,36,Atheneum Books for Young Readers,4.10,"A Hungry Lion, or A Dwindling Assortment of Animals",2016
Jane Smiley,"Featuring lyrical text and beautiful illustrations, this bedtime tale from Pulitzer Prize winner Jane Smiley and Caldecott Honor recipient Lauren Castillo evokes the splashy fun of the beach and the quietude of a moonlit night, with twenty yawns sprinkled in for children to discover and count.",Hardcover,Childrens,April,32,Two Lions,3.83,Twenty Yawns,2016
Molly Idle,"The darling, dancing Flora is back, and this time she's found two new friends: a pair of peacocks! But amidst the fanning feathers and mirrored movements, Flora realizes that the push and pull between three friends can be a delicate dance. Will this trio find a way to get back in step? In the third book featuring Flora and her feathered friends, Molly Idle's gorgeous art c",Hardcover,Childrens,May,40,Chronicle Books                          (first published April 26th 2016,4.13,Flora and the Peacocks,2016
Kate Beaton,<b>All hail King Baby!</b>,Hardcover,Childrens,September,34,Arthur A. Levine Books,4.08,King Baby,2016
F. Isabel Campoy,"What good can a splash of color do in a community of gray? As Mira and her neighbors discover, more than you might ever imagine! Based on the true story of the Urban Art Trail in San Diego, California, ",Hardcover,Childrens,April,40,HMH Books for Young Readers,4.23,Maybe Something Beautiful: How Art Transformed a Neighborhood,2016
