author,description,format,genre,month,pages,publisher,rating,title,year
Nathanael Johnson,"It all started with Nathanael Johnson’s decision to teach his daughter the name of every tree they passed on their walk to day care in San Francisco. This project turned into a quest to discover the secrets of the neighborhood’s flora and fauna, and yielded more than names and trivia: Johnson developed a relationship with his nonhuman neighbors.",Hardcover,Nonfiction,April,224,Rodale Books,4.08,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",2016
Robert Moor,"In 2009, while thru-hiking the Appalachian Trail, Robert Moor began to wonder about the paths that lie beneath our feet: ",Hardcover,Nonfiction,July,352,Simon  Schuster,3.98,On Trails: An Exploration,2016
Brian Christian,"<b>A fascinating exploration of how insights from computer algorithms can be applied to our everyday lives, helping to solve common decision-making problems and illuminate the workings of the human mind</b>",Hardcover,Nonfiction,April,368,Henry Holt and Co,4.16,Algorithms to Live By: The Computer Science of Human Decisions,2016
Jo Marchant,"<i>A rigorous, skeptical, deeply reported look at the new science behind the mind's surprising ability to heal the body</i>",Hardcover,Nonfiction,January,320,Crown,4.07,Cure: A Journey into the Science of Mind Over Body,2016
Ed Yong,"<p>Joining the ranks of popular science classics like <em>The Botany of Desire</em> and <em>The Selfish Gene,</em> a groundbreaking, wondrously informative, and vastly entertaining examination of the most significant revolution in biology since Darwin—a “microbe’s-eye view” of the world that reveals a marvelous, radically reconceived picture of life on earth.</p>",Hardcover,Science,August,368,Ecco,4.19,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,2016
Kevin Kelly,"<b>From one of our leading technology thinkers and writers, a guide through the twelve technological imperatives that will shape the next thirty years and transform our lives</b>",Hardcover,Nonfiction,June,336,Viking,3.96,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,2016
James Gleick,"From the acclaimed author of The Information and Chaos, here is a mind-bending exploration of time travel: its subversive origins, its evolution in literature and science, and its influence on our understanding of time itself. ",Hardcover,Science,September,336,Pantheon Books,3.57,Time Travel: A History,2016
Cathy O'Neil,<b>A former Wall Street quant sounds an alarm on mathematical modeling—a pervasive new force in society that threatens to undermine democracy and widen inequality.</b>,Hardcover,Nonfiction,September,259,Crown,3.87,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,2016
Julie Zickefoose,"<b>If you’ve ever wondered what goes on in bird nests, or what happens after a fledgling leaves the nest, come along on Julie’s sensitive exploration of often-uncharted ornithological ground.</b>",Hardcover,Nonfiction,April,352,Houghton Mifflin Harcourt,4.50,Baby Birds: An Artist Looks into the Nest,2016
Mary Ellen Hannibal,"Citizen science might just be our last, best chance to fight extinction. But is there really hope for threatened species? Mary Ellen Hannibal needed to find out.",Hardcover,Science,September,432,The Experiment                          (first published August 2016,3.74,Citizen Scientist: Searching for Heroes and Hope in an Age of Extinction,2016
Chrissy Teigen,"Maybe she’s on a photo shoot in Zanzibar. Maybe she’s making people laugh on TV. But all Chrissy Teigen really wants to do is talk about dinner. Or breakfast. Lunch gets some love, too.",Hardcover,Food and Drink,February,240,Clarkson Potter,4.12,Cravings: Recipes for All the Food You Want to Eat,2016
Theresa Carle-Sanders,"<b>Take a bite out of Diana Gabaldon’s <i>New York Times</i> bestselling Outlander novels, the inspiration for the hit Starz series, with this immersive official cookbook from OutlanderKitchen.com founder Theresa Carle-Sanders!</b>",Hardcover,Food and Drink,June,352,Delacorte Press,4.23,Outlander Kitchen: The Official Outlander Companion Cookbook,2016
Loren Bouchard,<i>The Bob’s Burgers Burger Book</i>,Hardcover,Food and Drink,March,128,Universe,4.42,The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,2016
Alton Brown,"My name is Alton Brown, and I wrote this book. It’s my first in a few years because I’ve been a little busy with TV stuff and interwebs stuff and live stage show stuff. Sure, I’ve been cooking, but it’s been mostly to feed myself and people in my immediate vicinity—which is really what a cook is supposed to do, right? Well, one day I was sitting around trying to organize m",Hardcover,Food and Drink,September,304,Ballantine Books,4.25,EveryDayCook,2016
Tessa Huff,"It’s time to venture beyond vanilla and chocolate and take your baking skills up a notch. We’re talking layers—two, three, four, or more!",Hardcover,Food and Drink,April,288,Harry N. Abrams,4.54,"Layered: Baking, Building, and Styling Spectacular Cakes",2016
Gwyneth Paltrow,"<b>The #1 <i>New York Times </i>bestselling cookbook that will help anyone make delectable, healthy meals in no time!</b>",Hardcover,Food and Drink,April,288,Grand Central Life & Style                          (first published April 5th 2016,3.65,It's All Easy: Delicious Weekday Recipes for the Super-Busy Home Cook,2016
Angela Liddon,"<b>Angela Liddon’s eagerly awaited follow-up to the <i>New York Times </i>bestseller <i>The Oh She Glows Cookbook,</i> featuring more than one hundred quick-and-easy whole-foods, plant-based recipes to keep you glowing every day of the year.</b>",Paperback,Food and Drink,September,336,Penguin Canada,4.25,Oh She Glows Every Day: Simply Satisfying Plant-Based Recipes to Keep You Glowing from the Inside Out,2016
