Author,Description,Genre,Publisher,Title
Angela Duckworth,,business-books,Scribner,GRIT
Yuval Noah Harari,,science,Harper Perennial,SAPIENS
Stephen Hawking,,science,Bantam,BRIEF ANSWERS TO THE BIG QUESTIONS
Yuval Noah Harari,,science,Spiegel & Grau,21 LESSONS FOR THE 21ST CENTURY
Neil deGrasse Tyson,,science,Norton,ASTROPHYSICS FOR PEOPLE IN A HURRY
Randall Munroe,,science,Houghton Mifflin Harcourt,WHAT IF?
Michael Pollan,,science,Penguin Press,HOW TO CHANGE YOUR MIND
Yuval Noah Harari,,science,Harper/HarperCollins,HOMO DEUS
Daniel Kahneman,,science,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW"
Bessel van der Kolk,,science,Penguin,THE BODY KEEPS THE SCORE
Paul Kalanithi,,science,Random House,WHEN BREATH BECOMES AIR
Kobe Bryant,,sports,"Melcher/MCD/Farrar, Straus & Giroux",THE MAMBA MENTALITY
Jane Leavy,,sports,Harper,THE BIG FELLA
Tim Tebow with AJ Gregory,,sports,WaterBrook,THIS IS THE DAY
Dale Earnhardt Jr with Ryan McGee,,sports,Thomas Nelson,RACING TO THE FINISH
Phil Knight,,sports,Scribner,SHOE DOG
The Editors of Sports,,sports,Sports Illustrated,THE STORY OF BASEBALL: IN 100 PHOTOGRAPHS
"Jackie MacMullan, Rafe Bartholomew and Dan Klores",,sports,Crown/Archetype,BASKETBALL: A LOVE STORY
John Feinstein,,sports,Doubleday,QUARTERBACK
Glenn Stout and Richard A Johnson,,sports,Houghton Mifflin Harcourt,THE PATS
Ian O'Connor,,sports,Houghton Mifflin Harcourt,BELICHICK
