Author,Description,Genre,Publisher,Title
Stephen King,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,hardcover-fiction,Scribner,THE OUTSIDER
Louise Penny,"While on suspension, Chief Inspector Armand Gamache is made an executor of a stranger’s will and tries to keep a deadly narcotic off Montreal’s streets.",hardcover-fiction,Minotaur,KINGDOM OF THE BLIND
Bill Clinton and James Patterson,President Jonathan Duncan takes on adversaries at home and abroad.,hardcover-fiction,"Little, Brown and Knopf",THE PRESIDENT IS MISSING
Michelle Obama,"The former first lady describes how she balanced work, family and her husband’s political ascent.",hardcover-nonfiction,Crown,BECOMING
"Charles Krauthammer,","A collection of essays, speeches and unpublished writings by the late conservative columnist.",hardcover-nonfiction,Crown Forum,THE POINT OF IT ALL
Tara Westover,The daughter of survivalists leaves home for university.,hardcover-nonfiction,Random House,EDUCATED
Bill O'Reilly and Martin Dugard,A look at the postwar manhunt for members of Hitler’s inner circle.,hardcover-nonfiction,Holt,KILLING THE SS
Pete Souza,"Pictures of former President Obama are juxtaposed with tweets, headlines and quotes from the Trump administration.",hardcover-nonfiction,"Little, Brown",SHADE
Doris Kearns Goodwin,The challenges that shaped the leadership abilities of four presidents.,hardcover-nonfiction,Simon & Schuster,LEADERSHIP
Andrew Roberts,A biography focusing on what motivated the war leader and how he learned from his mistakes.,hardcover-nonfiction,Viking,CHURCHILL: WALKING WITH DESTINY
Stephen Hawking,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,hardcover-nonfiction,Bantam,BRIEF ANSWERS TO THE BIG QUESTIONS
Michael Diamond and Adam Horovitz,The story of the New York band who achieved hip hop stardom.,hardcover-nonfiction,Spiegel & Grau,BEASTIE BOYS BOOK
Tucker Carlson,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,hardcover-nonfiction,Free Press,SHIP OF FOOLS
Bob Woodward,Debates and decision-making within the Trump White House.,hardcover-nonfiction,Simon & Schuster,FEAR
Michael Lewis,How the Trump administration staffs its federal agencies.,hardcover-nonfiction,Norton,THE FIFTH RISK
Pete Souza,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",hardcover-nonfiction,"Little, Brown",OBAMA
Neil deGrasse Tyson,"A straightforward, easy-to-understand introduction to the universe.",hardcover-nonfiction,Norton,ASTROPHYSICS FOR PEOPLE IN A HURRY
Kobe Bryant,The former Los Angeles Lakers player describes various skills and techniques he used.,hardcover-nonfiction,"Melcher/MCD/Farrar, Straus & Giroux",THE MAMBA MENTALITY
Heather Morris,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,trade-fiction-paperback,Harper,THE TATTOOIST OF AUSCHWITZ
W Bruce Cameron,A dog sets out across 400 miles of wilderness to find the man who rescued her as a puppy.,trade-fiction-paperback,Forge,A DOG'S WAY HOME
Rupi Kaur,"A collection of poetry about love, loss, trauma and healing.",trade-fiction-paperback,Andrews McMeel,MILK AND HONEY
Kevin Kwan,A New Yorker gets a surprise when she spends the summer with her boyfriend in Singapore.,trade-fiction-paperback,Anchor,CRAZY RICH ASIANS
Gail Honeyman,A young woman’s well-ordered life is disrupted by the I.T. guy from her office.,trade-fiction-paperback,Penguin,ELEANOR OLIPHANT IS COMPLETELY FINE
Rupi Kaur,"A second collection of poetry from the author of ""Milk and Honey.""",trade-fiction-paperback,Andrews McMeel,THE SUN AND HER FLOWERS
Josie Silver,A woman spends a year searching for a man in London she believes — after a single glance — is her true love.,trade-fiction-paperback,Broadway,ONE DAY IN DECEMBER
Anthony Doerr,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,trade-fiction-paperback,Scribner,ALL THE LIGHT WE CANNOT SEE
Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance.",trade-fiction-paperback,St. Martin's Griffin,THE NIGHTINGALE
Andrew Sean Greer,"Winner of the 2018 Pulitzer Prize in fiction. To avoid an ex-boyfriend's wedding, a failed novelist attends literary events around the world.",trade-fiction-paperback,Back Bay,LESS
Kevin Kwan,"The second book in the Crazy Rich Asians trilogy. As her wedding draws near, Rachel Chu discovers her birth father.",trade-fiction-paperback,Anchor,CHINA RICH GIRLFRIEND
Kate Quinn,A pregnant American college student and a French spy join together on a mission in London in 1947.,trade-fiction-paperback,Morrow,THE ALICE NETWORK
Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her.",trade-fiction-paperback,Scout,THE WOMAN IN CABIN 10
Min Jin Lee,"In the early 20th century, a Korean fisherman's daughter has a wealthy stranger's child, marries a pastor and moves to Japan.",trade-fiction-paperback,Grand Central,PACHINKO
Greer Hendricks and Sarah Pekkanen,The story of a love triangle is told from several points of view.,trade-fiction-paperback,St. Martin's,THE WIFE BETWEEN US
